Timestamp,Noise_Level,Collision,Waypoint_X,Waypoint_Y,Waypoint_Z,Noisy_Waypoint_X,Noisy_Waypoint_Y,Noisy_Waypoint_Z
2025-03-04 17:05:33,0.3,No,109.97291564941406,-22.15093421936035,0.0,109.72464752197266,-21.970569610595703,0.0
2025-03-04 17:05:33,0.3,No,109.78290557861328,-27.497604370117188,0.0,110.0337142944336,-27.4565486907959,0.0
2025-03-04 17:05:34,0.3,No,108.89596557617188,-33.060604095458984,0.0,108.6821060180664,-33.022029876708984,0.0
2025-03-04 17:05:34,0.3,No,107.23566436767578,-38.687259674072266,0.0,107.2010498046875,-38.85093688964844,0.0
2025-03-04 17:05:35,0.3,No,104.82662963867188,-44.09635543823242,0.0,105.05490112304688,-43.871482849121094,0.0
2025-03-04 17:05:35,0.3,No,101.9224853515625,-48.85660934448242,0.0,101.65606689453125,-48.988224029541016,0.0
2025-03-04 17:05:36,0.3,No,98.12503051757812,-53.57097625732422,0.0,98.28291320800781,-53.58373260498047,0.0
2025-03-04 17:05:36,0.3,No,94.00862884521484,-57.49276351928711,0.0,93.925048828125,-57.31161880493164,0.0
2025-03-04 17:05:37,0.3,No,89.36988830566406,-60.89659881591797,0.0,89.13038635253906,-60.601158142089844,0.0
2025-03-04 17:05:37,0.3,No,84.3510513305664,-63.66691207885742,0.0,84.13532257080078,-63.480987548828125,0.0
2025-03-04 17:05:38,0.3,No,78.79754638671875,-65.8421630859375,0.0,79.07307434082031,-66.0377197265625,0.0
2025-03-04 17:05:38,0.3,No,73.47245788574219,-67.17362976074219,0.0,73.57133483886719,-66.89403533935547,0.0
2025-03-04 17:05:39,0.3,No,67.83130645751953,-67.85309600830078,0.0,67.69163513183594,-67.75237274169922,0.0
2025-03-04 17:05:39,0.3,No,62.36308288574219,-67.92244720458984,0.0,62.08454895019531,-68.02365112304688,0.0
2025-03-04 17:05:40,0.3,No,57.017147064208984,-67.9202651977539,0.0,56.758792877197266,-68.02706146240234,0.0
2025-03-04 17:05:40,0.3,No,51.6913948059082,-67.9180908203125,0.0,51.96623229980469,-68.06826782226562,0.0
2025-03-04 17:05:41,0.3,No,46.89884567260742,-67.91613006591797,0.0,47.164215087890625,-67.97675323486328,0.0
2025-03-04 17:05:41,0.3,No,42.09679412841797,-67.91416931152344,0.0,41.955726623535156,-67.98396301269531,0.0
2025-03-04 17:05:42,0.3,No,36.8883171081543,-67.91204071044922,0.0,37.163700103759766,-67.80236053466797,0.0
2025-03-04 17:05:42,0.3,No,32.096229553222656,-67.91008758544922,0.0,31.905820846557617,-67.76457977294922,0.0
2025-03-04 17:05:43,0.3,No,26.838327407836914,-67.9079360961914,0.0,26.864768981933594,-68.01859283447266,0.0
2025-03-04 17:05:43,0.3,No,21.7973690032959,-67.90587615966797,0.0,21.82549476623535,-68.08389282226562,0.0
2025-03-04 17:05:44,0.3,No,16.758115768432617,-67.90381622314453,0.0,16.741395950317383,-67.92845153808594,0.0
2025-03-04 17:05:44,0.3,No,11.673972129821777,-67.90174102783203,0.0,11.440653800964355,-68.19439697265625,0.0
2025-03-04 17:05:45,0.3,No,6.391265392303467,-67.90137481689453,0.0,6.629400730133057,-68.00824737548828,0.0
2025-03-04 17:05:46,0.3,No,1.7144734859466553,-67.95189666748047,0.0,1.7670764923095703,-68.20801544189453,0.0
2025-03-04 17:05:46,0.3,No,-3.1676061153411865,-68.02677917480469,0.0,-3.003943920135498,-68.14155578613281,0.0
2025-03-04 17:05:47,0.3,No,-7.948740005493164,-68.07766723632812,0.0,-7.941786289215088,-68.01482391357422,0.0
2025-03-04 17:05:47,0.3,No,-12.940860748291016,-68.1296615600586,0.0,-12.69150447845459,-67.90369415283203,0.0
2025-03-04 17:05:48,0.3,No,-17.688905715942383,-68.17911529541016,0.0,-17.909021377563477,-68.17256927490234,0.0
2025-03-04 17:05:48,0.3,No,-22.90865707397461,-68.23347473144531,0.0,-22.992053985595703,-68.22189331054688,0.0
2025-03-04 17:05:49,0.3,No,-27.99165153503418,-68.28641510009766,0.0,-28.202070236206055,-68.53592681884766,0.0
2025-03-04 17:05:49,0.3,No,-33.20438003540039,-68.34071350097656,0.0,-33.18376159667969,-68.50029754638672,0.0
2025-03-04 17:05:50,0.3,No,-38.18516159057617,-68.39258575439453,0.0,-38.226356506347656,-68.25422668457031,0.0
2025-03-04 17:05:50,0.3,No,-43.22464370727539,-68.44507598876953,0.0,-43.325172424316406,-68.65531921386719,0.0
2025-03-04 17:05:51,0.3,No,-48.32707977294922,-68.49822235107422,0.0,-48.32840347290039,-68.36119842529297,0.0
2025-03-04 17:05:51,0.3,No,-53.32670974731445,-68.55029296875,0.0,-53.07878112792969,-68.80333709716797,0.0
2025-03-04 17:05:52,0.3,No,-58.081172943115234,-68.59981536865234,0.0,-57.99604034423828,-68.56739044189453,0.0
2025-03-04 17:05:52,0.3,No,-62.995445251464844,-68.65099334716797,0.0,-62.91706466674805,-68.75538635253906,0.0
2025-03-04 17:05:53,0.3,No,-67.91788482666016,-68.70226287841797,0.0,-67.69156646728516,-68.64602661132812,0.0
2025-03-04 17:05:53,0.3,No,-73.02997589111328,-68.67170715332031,0.0,-73.22249603271484,-68.8830795288086,0.0
2025-03-04 17:05:54,0.3,No,-79.0452651977539,-67.88426208496094,0.0,-79.33048248291016,-67.86066436767578,0.0
2025-03-04 17:05:54,0.3,No,-84.86722564697266,-66.19866943359375,0.0,-84.59366607666016,-66.18539428710938,0.0
