vehicle_id,time,distance
304,6.02,8.52
292,6.02,8.52
300,9.02,7.08
304,9.02,7.08
292,9.02,3.76
304,24.04,4.35
315,24.04,4.35
304,27.04,5.32
315,27.05,5.32
304,30.05,3.55
315,30.05,3.55
300,42.07,8.84
315,42.07,8.84
304,54.09,3.85
315,54.09,3.85
