Vehicle ID,Behavior,Average Speed (km/h),Max Speed (km/h),Distance Traveled (m),Collisions
221,Reckless,3.770018539278057,43.95875698772945,121.90207769046894,61
215,Reckless,4.289545197715157,44.62399420886848,117.11651876123638,1
223,Reckless,11.974964922503188,44.899215267037064,271.8222749667503,74
225,Reckless,5.888776859204913,43.11726570977396,137.44375728379958,32
227,Normal,19.492219541411625,29.815011766047657,420.89151128548644,6
212,Reckless,6.950920090636597,48.04822618791308,147.06562170507368,0
217,Reckless,4.9260400344388895,45.78474975987199,143.03556387774145,56
219,Reckless,23.899778332127532,54.12430359235442,519.2146672535565,4
214,Reckless,2.2466722396877086,41.238520333500205,82.557864160628,50
216,Reckless,4.439554537025007,47.05496074182171,130.71591216007613,81
218,Reckless,12.198059638217972,45.130029941107324,266.0611361605335,77
220,Reckless,17.57338017188429,51.75845330818094,370.0430630919794,81
222,Reckless,23.130650589759387,30.75014579648825,488.8211589741872,0
224,Reckless,7.949218936678734,46.826379773127286,171.55574749100205,95
226,Reckless,3.710514640657932,47.887129159255466,114.59574628680008,1
228,Normal,6.34248966143264,35.64508983016006,130.69030561921423,71
229,Normal,5.309886474366763,36.10886996327238,104.53101468262383,68
230,Normal,13.516784333862045,42.343161756729366,293.73001995592875,3
231,Normal,7.225188635587226,30.062001025973125,162.69351099054367,2
232,Normal,11.024403932923743,40.41727339563448,230.5404765595418,0
233,Normal,6.142412225091833,34.3840444316807,121.94178027398772,6
234,Normal,18.465456725177983,36.01902853480778,374.5451686004551,0
235,Normal,12.912913366729331,33.81990385975939,289.65690582853824,0
236,Normal,2.153167951583797,35.252241613720095,40.78228298585051,65
237,Normal,8.85714194301115,32.26242769229926,200.68603918219617,76
239,Normal,7.40103128760699,29.9384576098232,147.22384317433628,62
241,Normal,9.275658473270763,36.000157292378205,188.0219778998027,23
238,Normal,3.3109147071965386,35.569328135498495,92.06797425225736,0
240,Normal,22.462972380423782,35.36072368641096,474.77816726506,0
213,Reckless,14.687021252245982,48.22358012366318,327.4214534929264,70
