Timestamp,Waypoint_X,Waypoint_Y,Waypoint_Z,Noisy_Waypoint_X,Noisy_Waypoint_Y,Noisy_Waypoint_Z,Collision,Collision_Object
2025-02-22 18:38:19,-82.27608489990234,24.455415725708008,0.0,-81.88420104980469,24.430681228637695,0.0,No,None
2025-02-22 18:38:20,-76.8843002319336,24.47039794921875,0.0,-78.78485107421875,25.89543914794922,0.0,No,None
2025-02-22 18:38:20,-73.78089904785156,24.479019165039062,0.0,-74.50148010253906,25.483890533447266,0.0,No,None
2025-02-22 18:38:21,-69.49870300292969,24.49091911315918,0.0,-69.72405242919922,22.758840560913086,0.0,No,None
2025-02-22 18:38:21,-64.7288589477539,24.50417137145996,0.0,-64.20067596435547,26.070770263671875,0.0,No,None
2025-02-22 18:38:22,-59.196346282958984,24.51954460144043,0.0,-60.7221794128418,24.773033142089844,0.0,No,None
2025-02-22 18:38:22,-55.72147750854492,24.529199600219727,0.0,-53.902931213378906,23.307392120361328,0.0,No,None
2025-02-22 18:38:23,-49.71134948730469,19.564313888549805,0.0,-50.08201599121094,21.38290786743164,0.0,No,None
2025-02-22 18:38:23,-46.8638916015625,16.536529541015625,0.0,-47.164764404296875,15.195541381835938,0.0,No,None
2025-02-22 18:38:24,-45.53948974609375,9.596077919006348,0.0,-44.452857971191406,11.473552703857422,0.0,No,None
2025-02-22 18:38:24,-42.28291320800781,6.563950061798096,0.0,-42.35785675048828,6.829721927642822,0.0,No,None
2025-02-22 18:38:25,-41.80245590209961,1.4265953302383423,0.0,-40.59355545043945,2.724501848220825,0.0,No,None
2025-02-22 18:38:25,-41.81126403808594,-1.7032023668289185,0.0,-43.340885162353516,-1.762527585029602,0.0,No,None
2025-02-22 18:38:26,-41.82551193237305,-6.766812324523926,0.0,-40.85366439819336,-5.023907661437988,0.0,No,None
2025-02-22 18:38:26,-41.84060287475586,-10.036903381347656,0.0,-42.4503288269043,-9.403341293334961,0.0,No,None
2025-02-22 18:38:27,-41.85285186767578,-14.381146430969238,0.0,-40.20165252685547,-12.898886680603027,0.0,No,None
2025-02-22 18:38:27,-41.83500671386719,-17.841726303100586,0.0,-43.275081634521484,-18.1646671295166,0.0,No,None
2025-02-22 18:38:28,-41.794925689697266,-23.153640747070312,0.0,-41.238983154296875,-22.832136154174805,0.0,No,None
2025-02-22 18:38:28,-41.75959014892578,-27.836206436157227,0.0,-40.14680480957031,-27.291751861572266,0.0,No,None
2025-02-22 18:38:29,-41.72587966918945,-32.303810119628906,0.0,-42.55257034301758,-32.22868347167969,0.0,No,None
2025-02-22 18:38:29,-41.68876647949219,-37.22230911254883,0.0,-41.37641906738281,-36.97834777832031,0.0,No,None
2025-02-22 18:38:30,-41.652862548828125,-41.9805793762207,0.0,-41.04533767700195,-40.47127914428711,0.0,No,None
2025-02-22 18:38:31,-41.62649154663086,-45.475807189941406,0.0,-42.56529998779297,-45.24711990356445,0.0,No,None
2025-02-22 18:38:31,-41.40572738647461,-49.944183349609375,0.0,-40.500526428222656,-48.9859504699707,0.0,No,None
2025-02-22 18:38:32,-38.33126449584961,-52.841888427734375,0.0,-39.01701736450195,-52.29698944091797,0.0,No,None
2025-02-22 18:38:32,-35.83427429199219,-55.38563537597656,0.0,-37.64765930175781,-56.68995666503906,0.0,No,None
2025-02-22 18:38:33,-34.720550537109375,-59.72800827026367,0.0,-33.93667984008789,-58.93989181518555,0.0,No,None
2025-02-22 18:38:33,-30.26325035095215,-61.193904876708984,0.0,-31.32774543762207,-60.256893157958984,0.0,No,None
2025-02-22 18:38:34,-27.034090042114258,-61.276065826416016,0.0,-27.122251510620117,-61.72868728637695,0.0,No,None
2025-02-22 18:38:34,-22.12722396850586,-61.22496032714844,0.0,-23.055984497070312,-62.83924865722656,0.0,No,None
2025-02-22 18:38:35,-18.07296371459961,-61.18273162841797,0.0,-18.973146438598633,-60.06277084350586,0.0,No,None
2025-02-22 18:38:35,-13.961655616760254,-61.13991165161133,0.0,-15.100101470947266,-62.040035247802734,0.0,No,None
2025-02-22 18:38:36,-10.10962200164795,-61.09979248046875,0.0,-8.29464340209961,-63.06330490112305,0.0,No,None
2025-02-22 18:38:36,-13.278566360473633,-64.63298797607422,0.0,-14.65401554107666,-64.6285629272461,0.0,No,None
2025-02-22 18:38:37,-19.653549194335938,-64.69938659667969,0.0,-18.44158172607422,-64.75218200683594,0.0,No,None
2025-02-22 18:38:37,-23.441991806030273,-64.73884582519531,0.0,-23.546695709228516,-65.51136016845703,0.0,No,None
2025-02-22 18:38:38,-28.553804397583008,-64.79208374023438,0.0,-29.711889266967773,-65.44474029541016,0.0,No,None
2025-02-22 18:38:38,-34.718292236328125,-64.85629272460938,0.0,-33.802490234375,-64.02239227294922,0.0,No,None
2025-02-22 18:38:39,-39.39092254638672,-63.67913818359375,0.0,-37.601016998291016,-65.50257110595703,0.0,No,None
2025-02-22 18:38:39,-42.6071662902832,-64.9384536743164,0.0,-43.26689529418945,-63.74885177612305,0.0,No,None
2025-02-22 18:38:40,-48.25416564941406,-64.99726867675781,0.0,-47.00315475463867,-64.33160400390625,0.0,No,None
2025-02-22 18:38:40,-51.996089935302734,-65.03624725341797,0.0,-53.58402633666992,-66.50263214111328,0.0,No,None
2025-02-22 18:38:41,-58.907283782958984,-68.40901947021484,0.0,-59.947235107421875,-67.78416442871094,0.0,No,None
2025-02-22 18:38:41,-65.06278228759766,-68.67252349853516,0.0,-64.6167984008789,-68.04122924804688,0.0,No,None
